Song ID,Song Name,Link,Music Plat.,Artist Name,Artist Link,Artist ID,GD Downloadable State,UnscoutedSongIDs,NCS IDs,CHOMPO IDs,Total Rated Levels,Hyperlinked Name,Hyperlinked Username,Missing Song Detector
17575,-dancing in the rain-,https://www.newgrounds.com/audio/listen/17575,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1372060,10009996,10012920,1,-dancing in the rain-,Waterflame,
18584,-t.t.l.o.l. part 3-,https://www.newgrounds.com/audio/listen/18584,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,1377697,10009997,10012921,1,-t.t.l.o.l. part 3-,Waterflame,
18758,Drops of Rain,https://www.newgrounds.com/audio/listen/18758,,crud,https://crud.newgrounds.com,NG652226,,1384412,10009998,10012922,1,Drops of Rain,crud,
18936,Megaman 7 - Shademan's Secret,https://www.newgrounds.com/audio/listen/18936,,TenchuX,https://TenchuX.newgrounds.com,NG1014821,,1396578,10009999,10012923,2,Megaman 7 - Shademan's Secret,TenchuX,
18993,Trials and Chances,https://www.newgrounds.com/audio/listen/18993,,Final-Round,https://Final-Round.newgrounds.com,NG291091,,1420445,10010000,10012924,1,Trials and Chances,Final-Round,
19019,Elevator Music,https://www.newgrounds.com/audio/listen/19019,,Khuskan,https://Khuskan.newgrounds.com,NG917347,,1431657,10010001,10012925,3,Elevator Music,Khuskan,
19150,Super Mario Theme,https://www.newgrounds.com/audio/listen/19150,,LoneHunter-FsZ,https://LoneHunter-FsZ.newgrounds.com,NG1101357,,1443063,10010002,10012926,1,Super Mario Theme,LoneHunter-FsZ,
19282,Future,https://www.newgrounds.com/audio/listen/19282,,Vertlain,https://Vertlain.newgrounds.com,NG1099939,,1460813,10010003,10012927,1,Future,Vertlain,
20020,-black flower-,https://www.newgrounds.com/audio/listen/20020,,Waterflame,https://Waterflame.newgrounds.com,NG489978,,,10010004,10012928,1,-black flower-,Waterflame,
20171,Show No Tears,https://www.newgrounds.com/audio/listen/20171,,NemesisTheory,https://NemesisTheory.newgrounds.com,NG339805,,,10010005,10012929,10,Show No Tears,NemesisTheory,
20344,The Temple Of Time,https://www.newgrounds.com/audio/listen/20344,,Bezo,https://Bezo.newgrounds.com,NG493411,,,10010006,10012930,2,The Temple Of Time,Bezo,
20483,Star Wars - Duel of Fates,https://www.newgrounds.com/audio/listen/20483,,TenchuX,https://TenchuX.newgrounds.com,NG1014821,,,10010007,10012931,2,Star Wars - Duel of Fates,TenchuX,
20703,ParagonX9 - Chaoz Survivor,https://www.newgrounds.com/audio/listen/20703,,ParagonX9,https://ParagonX9.newgrounds.com,NG198486,,,10010008,10012932,2,ParagonX9 - Chaoz Survivor,ParagonX9,
21141,BioSeed,https://www.newgrounds.com/audio/listen/21141,,NemesisTheory,https://NemesisTheory.newgrounds.com,NG339805,,,10010009,10012933,1,BioSeed,NemesisTheory,
21749,Helix - Archetype,https://www.newgrounds.com/audio/listen/21749,,Helix6,https://Helix6.newgrounds.com,NG768581,,,10010010,10012934,21,Helix - Archetype,Helix6,
22019,super mario mix,https://www.newgrounds.com/audio/listen/22019,,dill11,https://dill11.newgrounds.com,NG1009123,,,10010011,10012935,1,super mario mix,dill11,
22405,Mario Kart 64: Rainbow Ride,https://www.newgrounds.com/audio/listen/22405,,LoneHunter-FsZ,https://LoneHunter-FsZ.newgrounds.com,NG1101357,,,10010012,10012936,1,Mario Kart 64: Rainbow Ride,LoneHunter-FsZ,
22467,Egg Rocket Zone,https://www.newgrounds.com/audio/listen/22467,,mstop-4,https://mstop-4.newgrounds.com,NG1121401,,,10010013,10012937,1,Egg Rocket Zone,mstop-4,
22509,X-Files theme,https://www.newgrounds.com/audio/listen/22509,,ssjgodzilla,https://ssjgodzilla.newgrounds.com,NG957141,,,10010014,10012938,0,X-Files theme,ssjgodzilla,
22562,Ice Climber: Hard Ice,https://www.newgrounds.com/audio/listen/22562,,Jhalkompwdr,https://Jhalkompwdr.newgrounds.com,NG1086124,,,10010015,10012939,3,Ice Climber: Hard Ice,Jhalkompwdr,
22720,F-Zero - Bigger Blue,https://www.newgrounds.com/audio/listen/22720,,TenchuX,https://TenchuX.newgrounds.com,NG1014821,,,10010016,10012940,0,F-Zero - Bigger Blue,TenchuX,
